title,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Café Plume,19,€€ ,Takes ReservationsMany Vegetarian OptionsAccepts Credit CardsOutdoor Seating,01 42 60 27 66,164 rue Saint-Honoré 75001 Paris France,Mon7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day)Open now,7:30 AM - 2:00 AM (Next day),7:30 AM - 2:00 AM (Next day)
Au Bon Accueil,80,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 47 05 46 11,14 rue Monttessuy 75007 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,Closed,Closed
Mamma Primi,28,€€€ ,No ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,Get Directions,71 rue des Dames 75017 Paris France,Mon12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM
Girafe,47,Unclaimed ,"Takes ReservationsMany Vegetarian OptionsOutdoor SeatingTouristy, Trendy, Intimate, Romantic, Classy",01 40 62 70 61,1 place du Trocadéro Palais de Chaillot 75016 Paris France,Mon12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM
Girafe,47,€€€€ ,"Takes ReservationsMany Vegetarian OptionsOutdoor SeatingTouristy, Trendy, Intimate, Romantic, Classy",01 40 62 70 61,1 place du Trocadéro Palais de Chaillot 75016 Paris France,Mon12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM
Septime,135,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 67 38 29,80 rue de Charonne 75011 Paris France,Mon8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PMClosed now,Closed,Closed
Septime,135,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 67 38 29,80 rue de Charonne 75011 Paris France,Mon8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PM,12:00 PM - 2:30 PM8:00 PM - 10:30 PMClosed now,Closed,Closed
La Maison de la Truffe,89,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 65 53 22,19 place de la Madeleine 75008 Paris France,Mon12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PMClosed now,7:00 PM - 10:30 PM,Closed
Le Train Bleu,261,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 43 09 06,Place Louis Armand 1er étage 75012 Paris France,Mon11:30 AM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 2:30 PM7:00 PM - 10:30 PMClosed now,11:30 AM - 2:30 PM7:00 PM - 10:30 PM,11:30 AM - 2:30 PM7:00 PM - 10:30 PM
Café Louise,59,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 60 22 44,8 rue Croix des Petits Champs 75001 Paris France,Mon9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AMClosed now,5:00 PM - 10:30 PM,Closed
Le Petit Canard,191,€€ ,Takes ReservationsOffers TakeoutNo DeliveryLimited Vegetarian Options,01 49 70 07 95,19 rue Henri Monnier 75009 Paris France,Mon7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day)Closed now,7:00 PM - 12:00 AM (Next day),7:00 PM - 12:00 AM (Next day)
Les Artizans,24,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 40 28 44 74,30 rue de Montorgueil 75001 Paris France,Mon9:00 AM - 11:30 PM,9:00 AM - 11:30 PM,9:00 AM - 11:30 PM,9:00 AM - 11:30 PM,9:00 AM - 11:30 PMOpen now,9:00 AM - 11:30 PM,9:00 AM - 11:30 PM
Bouillon Chartier,955,€€ ,No ReservationsNo DeliveryNo TakeoutLimited Vegetarian Options,01 47 70 86 29,7 rue du Faubourg Montmartre 75009 Paris France,Mon11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)Closed now,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)
L'Epicure,158,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 53 43 43 40,112 rue du Faubourg Saint-Honoré 75008 Paris France,Mon7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PM,7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PM,7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PM,7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PM,7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PMOpen now,7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PM,7:00 AM - 10:30 AM12:00 PM - 2:00 PM7:00 PM - 10:00 PM
L'îlot,57,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,06 95 12 86 61,4 rue de la Corderie 75003 Paris France,MonClosed,6:30 PM - 10:30 PM,6:30 PM - 10:30 PM,6:30 PM - 10:30 PM,6:30 PM - 10:30 PMClosed now,12:30 PM - 2:30 PM6:30 PM - 10:30 PM,Closed
La Fontaine de Mars,277,€€€ ,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,01 47 05 46 44,129 rue Saint-Dominique 75007 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
Aux Trois Mailletz,62,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 54 00 79,56 rue Galande 75005 Paris France,Mon7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day)Closed now,7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day)
Aux Trois Mailletz,62,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 54 00 79,56 rue Galande 75005 Paris France,Mon7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day)Closed now,7:00 PM - 5:00 AM (Next day),7:00 PM - 5:00 AM (Next day)
La Régalade,88,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 21 92 40,106 rue Saint-Honoré 75001 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM
Chez Fernand,194,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 25 18 55,9 rue Christine 75006 Paris France,Mon12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PMClosed now,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM
Le Cinq,136,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 49 52 71 54,31 avenue George V 75008 Paris France,Mon12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PMClosed now,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM
Les Antiquaires,349,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutVegan Options,01 42 61 08 36,13 rue du Bac 75007 Paris France,Mon7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)Open now,7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)
Les Antiquaires,349,€€ ,Takes ReservationsNo DeliveryNo TakeoutVegan Options,01 42 61 08 36,13 rue du Bac 75007 Paris France,Mon7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)Open now,7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)
Holybelly 5,239,€€ ,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,01 82 28 00 80,5 rue Lucien Sampaix 75010 Paris France,Mon9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PMOpen now,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM
Le Comptoir Colonial,2,Unclaimed ,No ReservationsNo DeliveryAccepts Credit CardsQuiet,01 42 58 44 84,22 Rue Lepic 75018 Paris France,,,,,,,
Le Comptoir Colonial,2,€€ ,No ReservationsNo DeliveryAccepts Credit CardsQuiet,01 42 58 44 84,22 Rue Lepic 75018 Paris France,,,,,,,
Le Bistro du Périgord,341,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 29 67 49,71 rue Saint-Jacques 75005 Paris France,Mon7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PMOpen now,9:00 AM - 10:30 PM,Closed
Chez Papa Jazz Club,43,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 86 99 63,3 rue Saint-Benoît 75006 Paris France,MonClosed,12:00 PM - 2:30 PM7:30 PM - 1:00 AM (Next day),7:30 PM - 1:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 1:00 AM (Next day),7:30 PM - 1:00 AM (Next day)Closed now,7:30 PM - 1:00 AM (Next day),7:30 PM - 12:00 AM (Next day)
Chez Janou,532,€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 72 28 41,2 rue Roger Verlomme 75003 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day)Closed now,7:00 AM - 12:00 AM (Next day),7:00 AM - 4:00 PM
Aux Vieux Garçons,13,Unclaimed ,No DeliveryAccepts Credit CardsOutdoor SeatingCasual Dress,01 42 22 06 57,213 bd St Germain 75007 Paris France,Mon8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)Open now,8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)
Aux Vieux Garçons,13,€€€ ,No DeliveryAccepts Credit CardsOutdoor SeatingCasual Dress,01 42 22 06 57,213 bd St Germain 75007 Paris France,Mon8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)Open now,8:00 AM - 12:00 AM (Next day),8:00 AM - 12:00 AM (Next day)
Beefbar,11,Unclaimed ,Takes ReservationsClassyDressyFull Bar,01 44 31 40 00,5 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day)Closed now,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 11:00 PM
Beefbar,11,€€€ ,Takes ReservationsClassyDressyFull Bar,01 44 31 40 00,5 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day)Closed now,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 11:00 PM
Le Baratin,85,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 49 39 70,3 rue Jouye Rouve 75020 Paris France,MonClosed,12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day)Closed now,7:30 PM - 2:00 AM (Next day),Closed
Le Baratin,85,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 49 39 70,3 rue Jouye Rouve 75020 Paris France,MonClosed,12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day)Closed now,7:30 PM - 2:00 AM (Next day),Closed
Le P'tit Bistro,14,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 78 55 80,8 rue Saint-Martin 75004 Paris France,Mon7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PMOpen now,7:30 AM - 10:00 PM,Closed
Le P'tit Bistro,14,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 78 55 80,8 rue Saint-Martin 75004 Paris France,Mon7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PMOpen now,7:30 AM - 10:00 PM,Closed
Le Jules Verne,19,Unclaimed ,No DeliveryMany Vegetarian OptionsRomantic,01 45 55 61 44,Avenue Gustave Eiffel Deuxième étage 75007 Paris France,Mon12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PMClosed now,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM
Le Brun,8,NA,Takes Reservations,09 54 00 10 47,95 rue Saint Honoré 75001 Paris France,Mon12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day)Closed now,12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day)
Sanukiya,349,€€ ,Offers TakeoutNo ReservationsNo DeliveryVegan Options,01 42 60 52 61,9 rue d'Argenteuil 75001 Paris France,Mon11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PMClosed now,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM
